需求描述,所属产品,进展状态,优先级,预期落地,是否需进行数分,产品经理,提出日期,目标交付日期,补充说明（若有风险请单独说明）,相关文件,RAT通过情况,AI 埋点,AI PRD 文档,AI 原型图设计
日历反馈入口服务端需求,日历,未启动,P0,敏捷迭代,是,赵煜,2026/06/05,7/9,,https://transsioner.feishu.cn/wiki/Luhww1OziiD6dtkIhcrcLPaUnGg,不涉及,,,
节庆小组件,日历,未启动,P0,敏捷迭代,是,赵煜,,,Glocal小组件需求，已过RAT,https://transsioner.feishu.cn/wiki/MGFMwQtweiPFYYkqDVpcjPJAnrc?from=from_lark_index_search&ccm_open_type=from_lark_index_search,通过,,,
日程导入,日历,未启动,P0,敏捷迭代,是,赵煜,,9月,,https://transsioner.feishu.cn/wiki/KoBawZ9pfimiRzkFDBocxaKjnGe,通过,,,
台历视图,日历,未启动,P0,敏捷迭代,是,赵煜,,,,https://transsioner.feishu.cn/wiki/E9avwHieNiC3dBkyLXAcZQT7n7g,还未评审,,,
重要日需求,日历,未启动,P0,敏捷迭代,是,赵煜,,x月,,https://transsioner.feishu.cn/wiki/F2kzwfcsRiRnhykMUU0cFjHOnbc,通过,,,
贷款相关需求,计算器,未启动,P1,敏捷迭代,是,徐斌,,4月,已报4.23RAT,https://transsioner.feishu.cn/docx/HHMPdxOJVoBHx8xaNTMc9HWEnVh,还未评审,,,
穆斯林时钟相关,时钟,进行中,P0,敏捷迭代,是,徐斌,,4月,已过RAT,https://transsioner.feishu.cn/docx/DWPqdlvofoGvj0xwllJc0s6jngd,通过,,,
体验优化,时钟,进行中,P1,敏捷迭代,否,徐斌,,4月,已过RAT,,通过,,,
身份选择页,Note,排期中,P0,敏捷迭代,是,邱纬晨,,,,,通过,,,
AI 功能首页露出、推荐、引导,Note,排期中,P0,敏捷迭代,是,邱纬晨,,,,,通过,,,
note 文件夹层级,Note,进行中,P0,敏捷迭代,是,邱纬晨,,,,,通过,,,
图片笔记,Note,未启动,P1,敏捷迭代,是,邱纬晨,,,,,还未评审,,,
AI 课堂助手,Note,未启动,P0,tOS,是,邱纬晨,,,高风险，强依赖于AI的接口能力,,通过,,,
AI课表需求,日历,排期中,P0,敏捷迭代,是,赵煜,,7月,,https://transsioner.feishu.cn/wiki/PsMowbdMjihX6akqhY8ckcTnnjf,通过,,,
编辑器支持OS16主题打包,主题,验收中,P0,敏捷迭代,否,赵富田,,6月,,https://transsioner.feishu.cn/wiki/L5mSw84j6ixytBk31iocUH2VnZ8,,,,
全场景录音，支持内外录及ASR和多模版摘要,录音机,排期中,P0,tOS,是,"金鹏,周熠玮",,,,https://transsioner.feishu.cn/wiki/Dwn6wdVJKiHKLCkpsjNcjejgnzf,通过,,,
AI 语音输入,Note,进行中,P0,tOS,是,邱纬晨,,,,,通过,,,
AI 语音笔记（标记）,Note,进行中,P0,tOS,是,邱纬晨,,,背后有多种方案,,通过,,,
粉丝用户备份&恢复,换机助手,进行中,P0,敏捷迭代,否,邱纬晨,,,已上RAT,,通过,,,
汇率接口调用优化,计算器,验收完成,P1,敏捷迭代,否,徐斌,,4月,服务端发现接口调用异常，故优化。,,还未评审,,,
主题商城创作者1期,主题,验收完成,P0,敏捷迭代,是,赵富田,,4月,,https://transsioner.feishu.cn/wiki/YWJHwFjdeiqWYlkeIo9cO58Hncf,通过,,,
主题商城接入paynicorn支付能力,主题,验收完成,P0,敏捷迭代,是,赵富田,,4月,,https://transsioner.feishu.cn/docx/QE0ud4LtmohzrnxHJNLcKe8Jnmd,通过,,,
动态壁纸,主题,验收完成,P0,tOS,是,赵富田,,3月,tOS16.3,https://transsioner.feishu.cn/docx/Y9p5dV1LdoH5UPx9LyVcptwDnrf,不涉及,,,
天气接入自升级SDK,天气,进行中,P0,敏捷迭代,是,郑爽,,4月,5月初,,不涉及,,,
天气接入商业化SDK,天气,进行中,P0,敏捷迭代,是,郑爽,,4月,5月初,,通过,,,
Top国家切在线接口及层级优化,天气,进行中,P0,敏捷迭代,,郑爽,,4月,专项已拉通,,不涉及,,,
天气早晚报,天气,未启动,P1,敏捷迭代,是,郑爽,,4月,"需单独进行内审（可和RAT一起）
方案优化",,通过,,,
异常天气提醒,天气,未启动,P1,敏捷迭代,是,郑爽,,4月,方案优化,,还未评审,,,
离线城市库优化,天气,测试中,P1,敏捷迭代,,郑爽,,4月,服务端,,不涉及,,,
客户端缓存策略优化,天气,进行中,P0,敏捷迭代,,郑爽,,4月,,,不涉及,,,
天气韩语翻译（产品线需求）,天气,验收完成,P2,tOS,否,郑爽,,,tOS16.3,,通过,,,
天气1月份遗留需求,天气,排期中,P2,敏捷迭代,,郑爽,,4月,,,还未评审,,,
AI文管-接入知识库,文件管理,进行中,P0,tOS,是,金鹏,,,,,通过,,,
铃声相关优化,时钟,进行中,P1,敏捷迭代,否,徐斌,,4月,已过RAT,,通过,,,
AI 语音翻译,Note,验收完成,P0,敏捷迭代,是,邱纬晨,,4月,,,通过,,,
基础体验增强（剪辑、倍速、回收站、分类等）,录音机,进行中,P0,tOS,是,"金鹏,周熠玮",,,,,通过,,,
后台优化（功能黑白名单，多语言等）,玩机技巧,进行中,P0,服务端需求,否,石诗曼,,2026/04/24,,,,,,
后台新增功能（OS筛选，机型清单等）,玩机技巧,进行中,P0,服务端需求,否,石诗曼,,2026/04/24,,,,,,
铃声&字体,主题,进行中,P0,tOS,是,赵富田,,,,,通过,,,
录音文件改m4a格式,录音机,验收中,P0,敏捷迭代,否,周熠玮,,,,,不涉及,,,
日历widegt,日历,验收完成,P0,tOS,是,赵煜,,5月,需求拆SR,https://transsioner.feishu.cn/docx/HuK9de9F7omA97xYD5ScfOUInYf,通过,,,
日历课堂笔记,日历,进行中,P0,tOS,是,赵煜,,6月,NOTE需求拆SR,https://transsioner.feishu.cn/wiki/Vw1jw4vKDiYIbDkoeOVcRmFwnCd,通过,,,
引导用户在新机上跳转玩机；,换机助手,未启动,P1,敏捷迭代,否,邱纬晨,,,,,还未评审,,,
远码/小码识别优化,扫一扫,未启动,P0,敏捷迭代,否,徐斌,,,已过RAT,https://transsioner.feishu.cn/docx/KxwCdp7EsoK8t2xdNhWcwIjZnVc,还未评审,,,
多码识别优化,扫一扫,未启动,P0,敏捷迭代,否,徐斌,,,已过RAT,,还未评审,,,
,,,,,,,,,,,,,,
My buddy 换机支持,换机助手,未启动,P0,tOS,否,邱纬晨,,,,,还未评审,,,
,,,,,,,,,,,,,,
换机不支持的三方引用引导跳转PS,换机助手,未启动,P0,敏捷迭代,否,邱纬晨,,,,,还未评审,,,
账号 换机支持,换机助手,进行中,P0,tOS,否,邱纬晨,,,已上RAT,,通过,,,
,计算器,,,,,,,,,,,,,
识别数字账号，跳转到opay/palmpay支付,扫一扫,进行中,P0,tOS,否,徐斌,,,已上RAT,,通过,,,
识别数字账号，跳转到opay/palmpay支付埋点,扫一扫,进行中,P0,tOS,是,徐斌,,,已上RAT,,通过,,,
接入TT短视频内容,Visha,未启动,P0,敏捷迭代,,,,,,,,,,
Visha 商业化（接入搜索、下载、视频暂停） ,Visha,未启动,P0,敏捷迭代,是,金鹏,,,,,,,,
,天气,,,,,,,,,,,,,
小镇业务员-通话摘要存储到记事本,Note,进行中,P0,tOS,是,邱纬晨,,,,,通过,,,
工具Glocal widget,Note,进行中,P0,tOS,是,邱纬晨,,,,,通过,,,
温度算算优化,计算器,未启动,P0,敏捷迭代,否,徐斌,,,已过RAT,,,,,
扫一扫支付合作伙伴页面优化,扫一扫,未启动,P0,敏捷迭代,否,徐斌,,,,,,,,
斋月信息显示需求,时钟,未启动,P0,敏捷迭代,是,徐斌,,,视觉调研方案设计ing,,,,,
AI随身Pin 录音需求,录音机,未启动,,tOS,,周熠玮,,,,,,,,
录音耳机能力拉齐,录音机,未启动,,tOS,,周熠玮,,,,,,,,
日历详细月视图及小组件,日历,未启动,P0,敏捷迭代,是,赵煜,2026/05/11,8月,,https://transsioner.feishu.cn/wiki/Hiu4wZL3EibKdnkEoWVc3sj5nxd,通过,,,
My Buddy节日需求,日历,未启动,,tOS,是,赵煜,,x月,,,还未评审,,,
创作者生态二期,主题,排期中,P0,敏捷迭代,是,赵富田,,x月,,,,,,
接入钱包支付,主题,进行中,P0,敏捷迭代,是,赵富田,,x月,,,,,,
记事本接入 AI 检索,Note,未启动,P0,敏捷迭代,否,邱纬晨,,x月,,,通过,,,
记事本接入 AI 知识库,Note,未启动,P0,敏捷迭代,否,邱纬晨,,x月,,,通过,,,
,日历,,,,,,,x月,,,,,,
录音机搜索能力增强,录音机,未启动,P0,tOS,,周熠玮,,x月,,,,,,
录音机打标签增加图片插入能力,录音机,未启动,P0,tOS,,周熠玮,,x月,,,,,,
文本增加润色能力,录音机,未启动,P0,tOS,否,周熠玮,,x月,,,,,,
文管交互界面优化,文件管理,验收中,P0,敏捷迭代,,程茗,,x月,,,,,,
适配影像垃圾回收机制,文件管理,排期中,P0,敏捷迭代,,程茗,,x月,,,,,,
,,,,,,,,x月,,,,,,
负一屏拉活,Visha,,,敏捷迭代,,,,x月,,,通过,,,
,Visha,,,敏捷迭代,,,,x月,,,,,,
